Kind_of_Usage,Usage_ID,Date,regist_dt_ICT,start_dt_ICT,end_dt_ICT,Kind_of_status,Customer_ID,Vehicle name,Station_depart.,Station_dest.,Gender,Age,Occupation,How to know Ha:mo,???(??),???(??),Usage',Usage Fee',Used_Points',Revenue'
Customer,100430543,1/4/2019,09:18:31,09:30:21,09:36:38,end,CP#0QKM0,1,21 Wittayakit Building,12 CU Terrace,Male,22,University student (CU),Facebook,1/1/2019,1/6/2019,1,20,0,20
Customer,100430553,1/4/2019,09:51:13,09:51:49,09:57:48,end,CP#0THQ2,18,04 Engineering,21 Wittayakit Building,Male,18,Others,Website,1/1/2019,1/6/2019,1,20,0,20
Customer,100430554,1/4/2019,09:54:46,09:55:18,10:00:16,end,CP#0Q972,1,21 Wittayakit Building,01 Exit to Cham square,FeMale,23,University student (CU),Suggested by friend,1/1/2019,1/6/2019,1,20,0,20
Customer,100430559,1/4/2019,10:07:18,10:07:48,10:11:27,end,CP#0PRJ4,25,07 Chamchuri 5,09 Chamchuri 10,Male,49,Lecturer (CU),Suggested by friend,1/1/2019,1/6/2019,1,20,-20,0
Customer,100430575,1/4/2019,11:23:02,11:24:42,11:30:31,end,CP#0TMX0,17,02 Economics,07 Chamchuri 5,,,,,1/1/2019,1/6/2019,1,20,-20,0
Customer,100430576,1/4/2019,11:34:17,11:43:42,11:51:07,end,CP#0SG46,1,01 Exit to Cham square,20 Veterinary Science,FeMale,49,Lecturer (CU),Others(Walked pass the cars),1/1/2019,1/6/2019,1,20,-2,18
Customer,100430579,1/4/2019,11:50:23,11:51:10,11:56:29,end,CP#0PRJ4,25,09 Chamchuri 10,04 Engineering,Male,49,Lecturer (CU),Suggested by friend,1/1/2019,1/6/2019,1,20,-2,18
Customer,100430580,1/4/2019,11:58:34,12:03:50,12:17:01,end,CP#0SRM4,1,20 Veterinary Science,15 U Center ,FeMale,26,University student (CU),Facebook,1/1/2019,1/6/2019,1,20,0,20
Customer,100430583,1/4/2019,12:23:49,12:24:29,12:34:09,end,CP#0PWB2,6,06 Chamchuri 9,03 Sala Prakeaw,Male,33,Lecturer (CU),Website,1/1/2019,1/6/2019,1,20,0,20
Customer,100430587,1/4/2019,12:44:22,12:46:07,12:52:23,end,CP#0T024,14,11 BTS-National stadium ,14 I’m Park ,Male,28,Others,Suggested by friend,1/1/2019,1/6/2019,1,20,0,20
